Array Design Name	Affymetrix Custom GeneChip Synechococcus 2516 ORFs v1.0.
Provider	Hideo Iwasaki(hideo-iwasaki@waseda.jp)
Comment[ArrayExpressAccession]	A-GEOD-8012
Comment[SecondaryAccession]	GPL8012
Comment[Description]	Array Manufacturer: Affymetrix, Distribution: non-commercial, Technology: in situ oligonucleotide<br>Comment[7942_ID] = S. elongatus PCC 7942 gene ID  (cf. Complete Genomic Sequence GenBank Accession number NC_007604)<br>Comment[6301_ID] = S. elongatus PCC 6301 gene ID of sequence used to design oligonucleotide probe (cf. Complete Genomic Sequence GenBank Accession number NC_006576)<br>Comment[SYMBOL] = Gene symbol name<br>Comment[ORF] = LINK_PRE:http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?CMD=search&DB=gene&cmd=search&term= LINK_SUF:[gene name]<br>Comment[DESCRIPTION] = Gene description
Comment[SubmittedName]	Affymetrix Custom GeneChip Synechococcus 2516 ORFs v1.0.
Comment[Organism]	Synechococcus elongatus PCC 7942 Synechococcus elongatus PCC 6301
Printing Protocol	Affymetrix prokaryotic array protocol (see Affymetrix website)
Surface Type	
Substrate Type	
Term Source Name

Reporter Name	Comment[7942_ID]	Comment[6301_ID]	Comment[SYMBOL]	Comment[ORF]	Comment[DESCRIPTION]
syc1254-h_at	Synpcc7942_0271	syc1242_c	cobA	syc1242	uroporphyrinogen III C-methyltransferase
syc1255-h_at	Synpcc7942_0270	syc1243_c		syc1243	probable glycosyltransferase
syc1256-m_at	Synpcc7942_0269	syc1244_d		syc1244	hypothetical protein
syc1257-m_at	Synpcc7942_0268	syc1245_d		syc1245	hypothetical protein
syc1258-h_at	Synpcc7942_0267	syc1246_c	gidB	syc1246	glucose inhibited division protein B
syc1259-m_at	Synpcc7942_0266	syc1247_d	dnaJ	syc1247	DnaJ protein
syc1260-m_at	Synpcc7942_0265	syc1248_d		syc1248	hypothetical protein
syc1261-h_at	Synpcc7942_0264	syc1249_c	uppS	syc1249	undecaprenyl pyrophosphate synthetase
syc1262-h_at	Synpcc7942_0263	syc1250_c		syc1250	hypothetical protein
syc1263-h_at	Synpcc7942_0262	syc1251_c	lysA	syc1251	diaminopimelate decarboxylase
syc1264-m_at	Synpcc7942_0261	syc1252_d	rimI	syc1252	ribosomal-protein-alanine acetyltransferase
syc1265-m_at	Synpcc7942_0260	syc1253_d	clpC	syc1253	ATP-dependent Clp protease regulatory subunit
syc1266-h_at	Synpcc7942_0259	syc1254_c		syc1254	
syc1267-h_at	Synpcc7942_0258	syc1255_c		syc1255	hypothetical protein
syc1268-m_at	Synpcc7942_0257	syc1256_d		syc1256	hypothetical protein
syc1269-h_at	Synpcc7942_0256	syc1257_c	ama	syc1257	N-acyl-L-amino acid amidohydrolase
syc1270-m_at	Synpcc7942_0255	syc1258_d		syc1258	hypothetical protein
syc1271-h_at	Synpcc7942_0254	syc1259_c	gyrA	syc1259	DNA gyrase A subunit
syc1272-m_at	Synpcc7942_0253	syc1260_d		syc1260	
syc1273-m_at	Synpcc7942_0252	syc1261_d	cp12	syc1261	putative CP12 protein
syc1274-h_at	Synpcc7942_0251	syc1262_c		syc1262	
syc1275-h_at	Synpcc7942_0250	syc1263_c		syc1263	hypothetical protein
syc1276-h_at	Synpcc7942_0249	syc1264_c	bgtA	syc1264	ATP-binding subunit of the ABC-type Bgt permease for basic amino acids and glutamine
syc1277-h_at	Synpcc7942_0248	syc1265_c		syc1265	permease protein of amino acid ABC transporter
syc1279-h_at	Synpcc7942_0247	syc1266_c	bgtB	syc1266	periplasmic substrate-binding and integral membrane protein of the ABC-type Bgt permease for basic amino acids and glutamine BgtB
syc1280-h_at	Synpcc7942_0246	syc1267_c		syc1267	polar amino acid transport system substrate-binding proetin
syc1281-m_at	Synpcc7942_0245	syc1268_d	gap1	syc1268	glyceraldehyde 3-phosphate dehydrogenase
syc1282-m_at	Synpcc7942_0244	syc1269_d	glgP	syc1269	glycogen phosphorylase
syc1283-m_at	Synpcc7942_0243	syc1270_d	hliC	syc1270	possible high light inducible polypeptide HliC, CAB/ELIP/HLIP superfamily
syc1284-m_at	Synpcc7942_0242	syc1271_d		syc1271	Ca2+:cation antiporter, CaCA family  Sodium/calcium exchanger protein
syc1285-h_at	Synpcc7942_0241	syc1272_c		syc1272	probable RNA methyltransferase
syc1286-m_at	Synpcc7942_0240	syc1273_d	apcD	syc1273	allophycocyanin alpha-B subunit
syc1287-m_at	Synpcc7942_0239	syc1274_d	petJ	syc1274	cytochrome C6 soluble cytochrome f
syc1288-m_at	Synpcc7942_0238	syc1275_d		syc1275	hypothetical protein
syc1289-m_at	Synpcc7942_0237	syc1276_d		syc1276	hypothetical protein
syc1290-h_at	Synpcc7942_0236	syc1277_c		syc1277	
syc1291-h_at	Synpcc7942_0235	syc1278_c		syc1278	
syc1292-m_at	Synpcc7942_0234	syc1279_d		syc1279	hypothetical protein, probable hydrolase
syc1293-m_at	Synpcc7942_0233	syc1280_d		syc1280	hypothetical protein
syc1294-m_at	Synpcc7942_0232	syc1281_d	aroA	syc1281	3-phosphoshikimate 1-carboxyvinyltransferase
syc1295-m_at	Synpcc7942_0231	syc1282_d		syc1282	putative acetyltransferase
syc1296-m_at	Synpcc7942_0230	syc1283_d		syc1283	
syc1297-h_at	Synpcc7942_0229	syc1284_c		syc1284	hypothetical protein
syc1298-h_at	Synpcc7942_0228	syc1285_c		syc1285	hypothetical protein
syc1299-h_at	Synpcc7942_0227	syc1286_c	pth	syc1286	peptidyl-tRNA hydrolase
syc1300-h_at	Synpcc7942_0226	syc1287_c		syc1287	hypothetical protein
syc1301-h_at	Synpcc7942_0225	syc1288_c	psbH	syc1288	photosystem II PsbH protein
syc1302-m_at	Synpcc7942_0224	syc1289_d	psbN	syc1289	PsbN protein
syc1303-h_at	Synpcc7942_0222	syc1290_c		syc1290	hypothetical protein
syc1304-h_at	Synpcc7942_0221	syc1291_c	glk	syc1291	glucokinase
syc1305-m_at	Synpcc7942_0220	syc1292_d	minD	syc1292	probable cell division inhibitor minD
syc1306-m_at	Synpcc7942_0219	syc1293_d		syc1293	
syc1307-m_at	Synpcc7942_0218	syc1294_d		syc1294	hypothetical protein
syc1308-h_at	Synpcc7942_0217	syc1295_c		syc1295	hypothetical protein
syc1309-m_at	Synpcc7942_0216	syc1296_d		syc1296	putative zinc-binding oxidoreductase
syc1310-m_at	Synpcc7942_0215	syc1297_d		syc1297	hypothetical protein
syc1311-h_at	Synpcc7942_0214	syc1298_c		syc1298	hypothetical protein
syc1312-m_at	Synpcc7942_0213	syc1299_d		syc1299	
syc1313-h_at	Synpcc7942_0212	syc1300_c	aroC	syc1300	chorismate synthase
syc1314-h_at	Synpcc7942_0211	syc1301_c	cobQ	syc1301	cobyric acid synthase
syc1315-h_at	Synpcc7942_0210	syc1302_c		syc1302	hypothetical protein
syc1316-m_at	Synpcc7942_0209	syc1303_d		syc1303	hypothetical protein
syc1317-h_at	Synpcc7942_0208	syc1304_c		syc1304	hypothetical protein
syc1318-h_at	Synpcc7942_0206	syc1305_c		syc1305	similar to pre-B cell enhancing factor
syc1319-h_at	Synpcc7942_0205	syc1306_c		syc1306	hypothetical protein
syc1320-m_at	Synpcc7942_0204	syc1307_d		syc1307	hypothetical protein
syc1321-m_at	Synpcc7942_0203	syc1308_d	ribD	syc1308	riboflavin biosynthesis protein RibD
syc1322-m_at	Synpcc7942_0202	syc1309_d	ccoN	syc1309	cb-type cytochrome c oxidase subunit I
syc1323-m_at	Synpcc7942_0201	syc1310_d		syc1310	hypothetical protein
syc1324-m_at	Synpcc7942_0200	syc1311_d		syc1311	hypothetical protein
syc1325-m_at	Synpcc7942_0199	syc1312_d		syc1312	hypothetical protein
syc1326-m_at	Synpcc7942_0198	syc1313_d	ndbC	syc1313	type 2 NADH dehydrogenase
syc1327-m_at	Synpcc7942_0197	syc1314_d		syc1314	hypothetical protein
syc1328-m_at	Synpcc7942_0196	syc1315_d		syc1315	lignostilbene-alpha, beta-dioxygenase of Synechococcus PCC7942
syc1329-h_at	Synpcc7942_0195	syc1316_c		syc1316	hypothetical protein
syc1330-m_at	Synpcc7942_0194	syc1317_d	polA	syc1317	DNA polymerase I
syc1331-m_at	Synpcc7942_0193	syc1318_d		syc1318	hypothetical protein
syc1332-m_at	Synpcc7942_0192	syc1319_d	ycf60	syc1319	hypothetical protein YCF60
syc1333-h_at	Synpcc7942_0191	syc1320_c		syc1320	soluble hydrogenase 42 kD subunit  DHSS
syc1334-m_at	Synpcc7942_0190	syc1321_d	cbiD	syc1321	cobalamin biosynthesis protein D
syc1335-m_at	Synpcc7942_0189	syc1322_d	guaA	syc1322	GMP synthetase
syc1336-h_at	Synpcc7942_0188	syc1323_c		syc1323	hypothetical protein
syc1337-m_at	Synpcc7942_0187	syc1324_d		syc1324	hypothetical protein
syc1338-h_at	Synpcc7942_0185	syc1325_c	ggt	syc1325	gamma-glutamyltranspeptidase
syc1339-h_at	Synpcc7942_0184	syc1326_c	pit	syc1326	inorganic phosphate transporter, PiT family
syc1340-h_at	Synpcc7942_0183	syc1327_c		syc1327	
syc1341-m_at	Synpcc7942_0182	syc1328_d		syc1328	hypothetical protein
syc1342-m_at	Synpcc7942_0181	syc1329_d		syc1329	putative excinuclease ATPase subunit
syc1343-m_at	Synpcc7942_0180	syc1330_d		syc1330	hypothetical protein
syc1344-h_at	Synpcc7942_0179	syc1331_c		syc1331	protein secretion chaperonin CsaA
syc1345-m_at	Synpcc7942_0178	syc1332_d		syc1332	ABC-2 type transport system ATP-binding protein
syc1346-m_at	Synpcc7942_0177	syc1333_d		syc1333	hypothetical protein
syc1347-h_at	Synpcc7942_0176	syc1334_c		syc1334	hypothetical protein
syc1348-h_at	Synpcc7942_0174	syc1335_c		syc1335	tetrapyrrole methylase family protein
syc1349-m_at	Synpcc7942_0173	syc1336_d	cysQ, amtA	syc1336	CysQ protein homolog  ammonium transport protein
syc1350-h_at	Synpcc7942_0171	syc1337_c	cysM	syc1337	cysteine synthase
syc1351-h_at	Synpcc7942_0169	syc1338_c	glnN	syc1338	glutamate-ammonia ligase, glutamine synthetase type III
syc1352-h_at	Synpcc7942_0168	syc1339_c		syc1339	
syc1353-h_at	Synpcc7942_0166	syc1340_c		syc1340	hypothetical protein
syc1354-h_at	Synpcc7942_0165	syc1341_c	ycf36	syc1341	hypothetical protein YCF36
syc1355-h_at	Synpcc7942_0164	syc1342_c		syc1342	hypothetical protein
syc1356-h_at	Synpcc7942_0163	syc1343_c		syc1343	hypothetical protein
syc1357-h_at	Synpcc7942_0162	syc1344_c		syc1344	
syc1358-h_at	Synpcc7942_0161	syc1345_c		syc1345	hypothetical protein
syc1359-h_at	Synpcc7942_0160	syc1346_c	era	syc1346	GTP-binding protein ERA homolog
syc1360-m_at	Synpcc7942_0159	syc1347_d		syc1347	hypothetical protein
syc1361-m_at	Synpcc7942_0158	syc1348_d	moeB	syc1348	molybdopterin biosynthesis MoeB protein
syc1362-m_at	Synpcc7942_0157	syc1349_d		syc1349	
syc1363-m_at	Synpcc7942_0156	syc1350_d		syc1350	phosphoglucomutase
syc1364-h_at	Synpcc7942_0154	syc1351_c		syc1351	fibrillin
syc1365-m_at	Synpcc7942_0153	syc1352_d		syc1352	hypothetical protein
syc1366-m_at	Synpcc7942_0152	syc1353_d	mraY	syc1353	phospho-N-acetylmuramoyl-pentapeptide-transferase
syc1367-h_at	Synpcc7942_0151	syc1354_c		syc1354	two-component response regulator
syc1368-m_at	Synpcc7942_0150	syc1355_d		syc1355	alphaalpha-trehalose-phosphate synthase
syc1369-m_at	Synpcc7942_0149	syc1356_d		syc1356	similar to ADA regulatory protein
syc1370-h_at	Synpcc7942_0148	syc1357_c		syc1357	hypothetical protein
syc1371-m_at	Synpcc7942_0147	syc1358_d		syc1358	
syc1372-h_at	Synpcc7942_0146	syc1359_c		syc1359	
syc1373-m_at	Synpcc7942_0145	syc1360_d		syc1360	hypothetical protein
syc1374-h_at	Synpcc7942_0144	syc1361_c		syc1361	hypothetical protein
syc1375-m_at	Synpcc7942_0143	syc1362_d	pdhB, acoB	syc1362	pyruvate dehydrogenase E1 component beta subunit
syc1376-m_at	Synpcc7942_0142	syc1363_d	secD	syc1363	protein-export membrane protein SecD
syc1377-m_at	Synpcc7942_0141	syc1364_d	secF	syc1364	protein-export membrane protein SecF
syc1378-m_at	Synpcc7942_0140	syc1365_d		syc1365	
syc1379-h_at	Synpcc7942_0139	syc1366_c	ilvB	syc1366	acetolactate synthase
syc1380-h_at	Synpcc7942_0138	syc1367_c		syc1367	probable peptidase
syc1381-h_at	Synpcc7942_0137	syc1368_c	hemH	syc1368	ferrochelatase
syc1382-m_at	Synpcc7942_0136	syc1369_d		syc1369	phage integrase family, similar to recombinase, hypothetical protein
syc1383-m_at	Synpcc7942_0135	syc1370_d	rapQ	syc1370	probable methyltransferase
syc1384-h_at	Synpcc7942_0134	syc1371_c		syc1371	hypothetical protein
syc1385-h_at	Synpcc7942_0133	syc1372_c		syc1372	hypothetical protein
syc1386-m_at	Synpcc7942_0132	syc1373_d		syc1373	hypothetical protein
syc1387-m_at	Synpcc7942_0131	syc1374_d		syc1374	hypothetical protein
syc1388-h_at	Synpcc7942_0129	syc1375_c		syc1375	hypothetical protein
syc1389-h_at	Synpcc7942_0128	syc1376_c		syc1376	hypothetical protein
syc1390-h_at	Synpcc7942_0127	syc1377_c	ntcA	syc1377	nitrogen-responsive global transcriptional regulator
syc1391-m_at	Synpcc7942_0126	syc1378_d	envM, fabI	syc1378	enoyl-[acyl-carrier-protein] reductase
syc1392-m_at	Synpcc7942_0125	syc1379_d	hisB	syc1379	imidazoleglycerol-phosphate dehydratase
syc1393-m_at	Synpcc7942_0124	syc1380_d		syc1380	similar to thiol methyltransferase 1
syc1394-m_at	Synpcc7942_0122	syc1381_d		syc1381	hypothetical protein
syc1395-m_at	Synpcc7942_0121	syc1382_d		syc1382	hypothetical protein
syc1396-m_at	Synpcc7942_0120	syc1383_d		syc1383	hypothetical protein
syc1397-m_at	Synpcc7942_0119	syc1384_d		syc1384	
syc1398-h_at		syc1385_c		syc1385	hypothetical protein
syc1399-h_at	Synpcc7942_0118	syc1386_c	pet112, gatB	syc1386	glutamyl-tRNA(Gln) amidotransferase subunit B
syc1400-h_at	Synpcc7942_0117	syc1387_c		syc1387	similar to thiol methyltransferase 1
syc1401-h_at	Synpcc7942_0116	syc1388_c	cscK	syc1388	fructokinase
syc1402-m_at	Synpcc7942_0115	syc1389_d		syc1389	hypothetical protein
syc1403-h_at	Synpcc7942_0114	syc1390_c		syc1390	hypothetical protein
syc1404-h_at	Synpcc7942_0112	syc1392_c	phrA	syc1392	DNA photolyase
syc1405-h_at	Synpcc7942_0111	syc1393_c	dnaK	syc1393	similar to DnaK protein
syc1406-h_at	Synpcc7942_0110	syc1394_c		syc1394	hypothetical protein
syc1407-h_at	Synpcc7942_0109	syc1395_c		syc1395	probable DNA-binding stress protein
syc1408-h_at	Synpcc7942_0108	syc1396_c		syc1396	hypothetical protein
syc1409-m_at	Synpcc7942_0107	syc1397_d		syc1397	hypothetical protein
syc1410-m_at	Synpcc7942_0106	syc1398_d	nadD	syc1398	nicotinate-nucleotide adenylyltransferase
syc1411-m_at	Synpcc7942_0105	syc1399_d	nadE, adgA	syc1399	glutamine-dependent NAD(+) synthetase
syc1413-m_at	Synpcc7942_0104	syc1400_d		syc1400	
syc1414-m_at	Synpcc7942_0103	syc1401_d		syc1401	
syc1415-h_at	Synpcc7942_0102	syc1402_c		syc1402	hypothetical protein
syc1416-h_at	Synpcc7942_0101	syc1403_c	ndbA	syc1403	type 2 NADH dehydrogenase
syc1417-m_at	Synpcc7942_0100	syc1404_d		syc1404	hypothetical protein
syc1418-h_at	Synpcc7942_0099	syc1405_c		syc1405	hypothetical protein
syc1419-m_at	Synpcc7942_0098	syc1406_d	pyk2, pykF	syc1406	pyruvate kinase
syc1420-m_at	Synpcc7942_0097	syc1407_d	cobN	syc1407	cobalamin biosynthetic protein CobN
syc1421-m_at	Synpcc7942_0096	syc1408_d		syc1408	hypothetical protein
syc1422-m_at	Synpcc7942_0095	syc1409_d	rre31, crr31, rpaA	syc1409	two-component response regulator (OmpR subfamily)
syc1423-h_at	Synpcc7942_0094	syc1410_c	dnaX, dnaZ	syc1410	DNA polymerase III delta' subunit
syc1424-h_at	Synpcc7942_0093	syc1411_c	tmk	syc1411	thymidylate kinase
syc1425-m_at	Synpcc7942_0092	syc1412_d		syc1412	hypothetical protein
syc1426-m_at	Synpcc7942_0091	syc1413_d	ycf21	syc1413	hypothetical protein YCF21
syc1427-h_at	Synpcc7942_0090	syc1414_c		syc1414	transcription factor GntR type-1 family
syc1428-m_at	Synpcc7942_0089	syc1415_d	clcD	syc1415	carboxymethylenebutenolidase
syc1429-h_at	Synpcc7942_0088	syc1416_c		syc1416	hypothetical protein
syc1430-m_at	Synpcc7942_0087	syc1417_d		syc1417	hypothetical protein
syc1431-m_at	Synpcc7942_0086	syc1418_d	glgX	syc1418	glycogen operon protein GlgX homolog
syc1432-m_at	Synpcc7942_0085	syc1419_d		syc1419	hypothetical protein
syc1433-h_at	Synpcc7942_0084	syc1420_c		syc1420	hypothetical protein
syc1434-h_at	Synpcc7942_0083	syc1421_c		syc1421	hypothetical protein
syc1435-h_at	Synpcc7942_0082	syc1422_c	mdlB	syc1422	ATP-binding protein of ABC transporter
syc1436-m_at	Synpcc7942_0081	syc1423_d		syc1423	hypothetical protein
syc1437-m_at	Synpcc7942_0080	syc1424_d		syc1424	probable ABC transporter permease protein
syc1438-m_at	Synpcc7942_0079	syc1425_d	ycf41	syc1425	hypothetical protein YCF41
syc1439-m_at	Synpcc7942_0078	syc1426_d		syc1426	hypothetical protein
syc1440-h_at	Synpcc7942_0077	syc1427_c		syc1427	
syc1441-h_at	Synpcc7942_0076	syc1428_c		syc1428	hypothetical protein
syc1442-h_at	Synpcc7942_0075	syc1429_c	pepP	syc1429	aminopeptidase P
syc1443-m_at	Synpcc7942_0074	syc1430_d		syc1430	
syc1444-m_at	Synpcc7942_0073	syc1431_d	lytB	syc1431	4-hydroxy-3-methylbut-2-enyl diphosphate reductase  penicillin tolerance protein LytB homolog
syc1445-m_at	Synpcc7942_0072	syc1432_d		syc1432	hypothetical protein
syc1446-m_at	Synpcc7942_0071	syc1433_d	degT	syc1433	pleiotropic regulatory protein homolog
syc1447-m_at	Synpcc7942_0070	syc1434_d		syc1434	hypothetical protein
syc1448-m_at	Synpcc7942_0068	syc1435_d		syc1435	ATP-binding protein of ABC transporter
syc1449-m_at	Synpcc7942_0067	syc1436_d		syc1436	ABC-2 type transport system permease protein
syc1450-m_at	Synpcc7942_0066	syc1437_d		syc1437	hypothetical protein
syc1451-m_at	Synpcc7942_0065	syc1438_d	infC	syc1438	initiation factor IF-3
syc1452-m_at	Synpcc7942_0063	syc1439_d		syc1439	hypothetical protein
syc1453-m_at	Synpcc7942_0062	syc1440_d	rfbF	syc1440	glucose-1-phosphate cytidylyltransferase
syc1454-m_at	Synpcc7942_0061	syc1441_d	rfbG	syc1441	CDP-glucose 46-dehydratase
syc1455-m_at	Synpcc7942_0058	syc1442_d	rfbC	syc1442	dTDP-4-dehydrorhamnose 35-epimerase
syc1456-m_at	Synpcc7942_0057	syc1443_d		syc1443	putative C-3 methyl transferase
syc1457-m_at	Synpcc7942_0056	syc1444_d	rfbE	syc1444	perosamine synthetase
syc1458-m_at	Synpcc7942_0054	syc1445_d		syc1445	hypothetical protein
syc1459-m_at	Synpcc7942_0053	syc1446_d		syc1446	
syc1460-m_at	Synpcc7942_0052	syc1447_d		syc1447	hypothetical protein
syc1461-m_at	Synpcc7942_0051	syc1448_d		syc1448	SPY protein
syc1462-h_at	Synpcc7942_0050	syc1449_c		syc1449	hypothetical protein
syc1463-m_s_at	Synpcc7942_0049	syc1450_d	pilA	syc1450	type IV pilus assembly protein PilA
syc1465-h_at	Synpcc7942_0047	syc1452_c		syc1452	hypothetical protein
syc1466-h_at	Synpcc7942_0046	syc1453_c		syc1453	hypothetical protein
syc1467-h_at	Synpcc7942_0045	syc1454_c		syc1454	hypothetical protein
syc1468-h_at	Synpcc7942_0044	syc1455_c		syc1455	hypothetical protein
syc1469-m_at	Synpcc7942_0043	syc1456_d		syc1456	
syc1470-m_at	Synpcc7942_0042	syc1457_d	rpl28	syc1457	50S ribosomal protein L28
syc1471-h_at	Synpcc7942_0041	syc1458_c		syc1458	probable transport protein
syc1472-h_at	Synpcc7942_0040	syc1459_c	folB	syc1459	dihydroneopterin aldolase
syc1473-h_at	Synpcc7942_0039	syc1460_c	gnd	syc1460	6-phosphogluconate dehydrogenase
syc1474-h_at	Synpcc7942_0038	syc1461_c	mutT	syc1461	mutator MutT protein
syc1475-h_at	Synpcc7942_0036	syc1462_c		syc1462	hypothetical protein
syc1476-m_at	Synpcc7942_0035	syc1463_d		syc1463	
syc1477-m_at	Synpcc7942_0033	syc1464_d		syc1464	hypothetical protein
syc1478-m_at	Synpcc7942_0032	syc1465_d		syc1465	hypothetical protein
syc1480-h_at	Synpcc7942_0031	syc1466_c	bioA	syc1466	N-acetylornithine aminotransferase
syc1481-h_at	Synpcc7942_0030	syc1467_c	bioD, cioD	syc1467	dethiobiotin synthase
syc1482-h_at	Synpcc7942_0029	syc1468_c		syc1468	hypothetical protein
syc1483-h_at	Synpcc7942_0028	syc1469_c		syc1469	hypothetical protein
syc1484-h_at	Synpcc7942_0027	syc1470_c	bioF	syc1470	7-keto-8-aminopelargonic acid synthetase
syc1485-m_at	Synpcc7942_0026	syc1471_d		syc1471	hypothetical protein
syc1486-h_at	Synpcc7942_0025	syc1472_c		syc1472	hypothetical protein
syc1487-m_at	Synpcc7942_0024	syc1473_d		syc1473	hypothetical protein
syc1488-m_at	Synpcc7942_0023	syc1474_d		syc1474	H+/Ca2+ exchanger
syc1489-m_at	Synpcc7942_0022	syc1475_d		syc1475	hypothetical protein
syc1490-m_at	Synpcc7942_0021	syc1476_d	cobK	syc1476	precorrin-6x reductase
syc1491-h_at	Synpcc7942_0020	syc1477_c		syc1477	
syc1492-h_at	Synpcc7942_0019	syc1478_c	sir	syc1478	ferredoxin-sulfite reductase
syc1493-m_at	Synpcc7942_0018	syc1479_d	glyS	syc1479	glycyl-tRNA synthetase beta chain
syc1494-m_at	Synpcc7942_0017	syc1480_d	eda, hga	syc1480	KHG/KDPG aldolase  2-dehydro-3-deoxyphosphogluconate aldolase / 4-hydroxy-2-oxoglutarate aldolase
syc1495-h_at	Synpcc7942_0016	syc1481_c		syc1481	
syc1496-m_at	Synpcc7942_0015	syc1482_d		syc1482	hypothetical protein
syc1497-m_at	Synpcc7942_0014	syc1483_d		syc1483	hypothetical protein
syc1498-h_at	Synpcc7942_0013	syc1484_c		syc1484	
syc1499-m_at	Synpcc7942_0012	syc1485_d	rps6	syc1485	30S ribosomal protein S6
syc1500-m_at	Synpcc7942_0011	syc1486_d		syc1486	
syc1501-m_at	Synpcc7942_0010	syc1487_d		syc1487	hypothetical protein
syc1502-h_at	Synpcc7942_0009	syc1488_c	argG	syc1488	argininosuccinate synthetase
syc1503-m_at	Synpcc7942_0008	syc1489_d		syc1489	
syc1504-m_at	Synpcc7942_0007	syc1490_d		syc1490	
syc1505-m_at	Synpcc7942_0006	syc1491_d		syc1491	hypothetical protein
syc1506-m_at	Synpcc7942_0005	syc1492_d		syc1492	hypothetical protein
syc1507-h_at	Synpcc7942_0004	syc1493_c	purF	syc1493	amidophosphoribosyltransferase
syc1508-h_at	Synpcc7942_0003	syc1494_c	purL	syc1494	phosphoribosylformyl glycinamidine synthetase II
syc1509-h_at	Synpcc7942_0002	syc1495_c		syc1495	RNA metabolism-related protein  conserved hypothetical protein
syc1510-h_at	Synpcc7942_0001	syc1496_c	dnaN	syc1496	DNA polymerase III beta subunit
syc1511-m_at	Synpcc7942_2613	syc1497_d	cbbZp	syc1497	phosphoglycolate phosphatase
syc1512-h_at	Synpcc7942_2612	syc1498_c	thrC	syc1498	threonine synthase
syc1513-m_at	Synpcc7942_2611	syc1499_d		syc1499	hypothetical protein
syc1514-m_at	Synpcc7942_2610	syc1500_d	cobA	syc1500	uroporphyrin-III C-methyltransferase
syc1515-h_at	Synpcc7942_2609	syc1501_c		syc1501	hypothetical protein
syc1516-h_at	Synpcc7942_2608	syc1502_c		syc1502	
syc1517-m_at	Synpcc7942_2607	syc1503_d	xthA	syc1503	exodeoxyribonuclease III
syc1518-m_at	Synpcc7942_2606	syc1504_d	thrS	syc1504	threonyl-tRNA synthetase
syc1519-m_at	Synpcc7942_2605	syc1505_d		syc1505	
syc1520-h_at	Synpcc7942_2604	syc1506_c	ctaE	syc1506	cytochrome c oxidase subunit III
syc1521-h_at	Synpcc7942_2603	syc1507_c	ctaD	syc1507	cytochrome c oxidase subunit I
syc1522-h_at	Synpcc7942_2602	syc1508_c	ctaC	syc1508	cytochrome c oxidase subunit II
syc1523-m_at	Synpcc7942_2601	syc1509_d		syc1509	hypothetical protein
syc1524-m_at	Synpcc7942_2600	syc1510_d	ctaB	syc1510	cytochrome c oxidase folding protein
syc1525-m_at	Synpcc7942_2599	syc1511_d		syc1511	hypothetical protein
syc1526-m_at	Synpcc7942_2598	syc1512_d		syc1512	hypothetical protein
syc1527-h_at	Synpcc7942_2597	syc1513_c		syc1513	hypothetical protein
syc1528-h_at	Synpcc7942_2596	syc1514_c	mviM	syc1514	probable oxidoreductase
syc1529-h_at	Synpcc7942_2595	syc1515_c		syc1515	hypothetical protein
syc1530-h_at	Synpcc7942_2594	syc1516_c		syc1516	
syc1531-h_at	Synpcc7942_2593	syc1517_c		syc1517	
syc1532-m_at	Synpcc7942_2592	syc1518_d	umpS, pyrE	syc1518	orotate phosphoribosyltransferase
syc1533-h_at	Synpcc7942_2591	syc1519_c		syc1519	hypothetical protein
syc1534-h_at	Synpcc7942_2590	syc1520_c		syc1520	similar to pilin-like protein
syc1535-h_at	Synpcc7942_2589	syc1521_c		syc1521	hypothetical protein
syc1536-m_at	Synpcc7942_2588	syc1522_d	ubiD	syc1522	3-octaprenyl-4-hydroxybenzoate carboxy-lyase UbiD
syc1537-m_at	Synpcc7942_2587	syc1523_d		syc1523	
syc1538-h_at	Synpcc7942_2586	syc1524_c		syc1524	hypothetical protein
syc1539-m_at	Synpcc7942_2585	syc1525_d		syc1525	hypothetical protein
syc1540-h_at	Synpcc7942_2584	syc1526_c	csgA, spoC, fabG	syc1526	probable short chain dehydrogenase  cell-cell signaling protein, C-factor
syc1541-h_at	Synpcc7942_2583	syc1527_c		syc1527	hypothetical protein
syc1542-h_at	Synpcc7942_2582	syc1528_c	impA, suhB	syc1528	myo-inositol-1(or 4)-monophosphatase
syc1543-h_at	Synpcc7942_2581	syc1529_c	petF	syc1529	ferredoxin petF-like protein
syc1544-m_at	Synpcc7942_2580	syc1530_d	dnaK	syc1530	DnaK protein
syc1545-m_at	Synpcc7942_2579	syc1531_d	dnaJ	syc1531	DnaJ protein
syc1546-m_at	Synpcc7942_2578	syc1532_d		syc1532	hypothetical protein
syc1547-m_at	Synpcc7942_2577	syc1533_d		syc1533	hypothetical protein
syc1548-m_at	Synpcc7942_2576	syc1534_d		syc1534	hypothetical protein
syc1549-h_at	Synpcc7942_2575	syc1535_c	mntC, znuA	syc1535	ABC-type manganese transport system substrate-binding protein MntC
syc1550-m_at	Synpcc7942_2574	syc1536_d	mntA	syc1536	manganese transport system ATP-binding protein MntA
syc1551-m_at	Synpcc7942_2573	syc1537_d	mntB	syc1537	manganese transport system membrane protein MntB
syc1552-m_at	Synpcc7942_2572	syc1538_d		syc1538	hypothetical protein
syc1553-h_at	Synpcc7942_2571	syc1539_c	mrcA, ponA	syc1539	penicillin-binding protein
